Sentence,Target,Completion,Item,Condition
"Gestern schärfte der Holzfäller, bevor er das Holz stapelte,",die Axt,und hackte die Holzscheite.,1,A
"Gestern schärfte der Holzfäller, bevor er den Film schaute,",die Axt,und hackte die Holzscheite.,1,B
"Gestern aß der Holzfäller, bevor er das Holz stapelte,",die Axt,und hackte die Holzscheite.,1,C
"Gestern aß der Holzfäller, bevor er den Film schaute,",die Axt,und hackte die Holzscheite.,1,D
"Nachdenklich schärft der Barbier, nachdem er den Rasierschaum aufgetragen hat,",das Messer,und rasiert den Kunden.,2,A
"Nachdenklich schärft der Barbier, nachdem er die Topfpflanze gegossen hat,",das Messer,und rasiert den Kunden.,2,B
"Nachdenklich trinkt der Barbier, nachdem er den Rasierschaum aufgetragen hat,",das Messer,und rasiert den Kunden.,2,C
"Nachdenklich trinkt der Barbier, nachdem er die Topfpflanze gegossen hat,",das Messer,und rasiert den Kunden.,2,D
"Sogleich süßt der Kellner, nachdem er die Bestellung aufgenommen hat,",den Kaffee,und gießt die Milch dazu.,3,A
"Sogleich süßt der Kellner, nachdem er das Radio angemacht hat,",den Kaffee,und gießt die Milch dazu.,3,B
"Sogleich putzt der Kellner, nachdem er die Bestellung aufgenommen hat,",den Kaffee,und gießt die Milch dazu.,3,C
"Sogleich putzt der Kellner, nachdem er das Radio angemacht hat,",den Kaffee,und gießt die Milch dazu.,3,D
"Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Brötchen geformt hat,",den Ofen,auf 180 Grad.,4,A
"Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Fenster gekippt hat,",den Ofen,auf 180 Grad.,4,B
"Vorsichtig schlürft der Bäckerlehrling, nachdem er die Brötchen geformt hat,",den Ofen,auf 180 Grad.,4,C
"Vorsichtig schlürft der Bäckerlehrling, nachdem er die Fenster gekippt hat,",den Ofen,auf 180 Grad.,4,D
"Zufrieden entkorkt der Winzer, der die Reben geschnitten hat,",die Weinflasche,für die Weinprobe.,5,A
"Zufrieden entkorkt der Winzer, der die Lohnabrechnungen beendet hat,",die Weinflasche,für die Weinprobe.,5,B
"Zufrieden glättet der Winzer, der die Reben geschnitten hat,",die Weinflasche,für die Weinprobe.,5,C
"Zufrieden glättet der Winzer, der die Lohnabrechnungen beendet hat,",die Weinflasche,für die Weinprobe.,5,D
"Umgehend löst der Fahrgast, der den Automaten bedient,",das Ticket,für die Fahrt.,6,A
"Umgehend löst der Fahrgast, der die Einkaufstasche abstellt,",das Ticket,für die Fahrt.,6,B
"Umgehend knotet der Fahrgast, der den Automaten bedient,",das Ticket,für die Fahrt.,6,C
"Umgehend knotet der Fahrgast, der die Einkaufstasche abstellt,",das Ticket,für die Fahrt.,6,D
"Am Abend feiert der Gewinner, der den Pokal erhält,",den Sieg,mit einer Party.,7,A
"Am Abend feiert der Gewinner, der das Eis isst,",den Sieg,mit einer Party.,7,B
"Am Abend knabbert der Gewinner, der den Pokal erhält,",den Sieg,mit einer Party.,7,C
"Am Abend knabbert der Gewinner, der das Eis isst,",den Sieg,mit einer Party.,7,D
"Endlich fängt der Angler, der den Köder auswarf,",den Fisch,für das Abendessen.,8,A
"Endlich fängt der Angler, der die Zeitung las,",den Fisch,für das Abendessen.,8,B
"Endlich baut der Angler, der den Köder auswarf,",den Fisch,für das Abendessen.,8,C
"Endlich baut der Angler, der die Zeitung las,",den Fisch,für das Abendessen.,8,D
"Am Nachmittag jätete der Schrebergärtner, der das Beet pflegte,",das Unkraut,und leerte den Kompost.,9,A
"Am Nachmittag jätete der Schrebergärtner, der die Sonne genoss,",das Unkraut,und leerte den Kompost.,9,B
"Am Nachmittag polierte der Schrebergärtner, der das Beet pflegte,",das Unkraut,und leerte den Kompost.,9,C
"Am Nachmittag polierte der Schrebergärtner, der die Sonne genoss,",das Unkraut,und leerte den Kompost.,9,D
"Eine Weile lüftet der Lehrer, bevor er die Tafel beschreibt,",das Klassenzimmer,und nimmt ein Stück Kreide.,10,A
"Eine Weile lüftet der Lehrer, bevor er den Mantel aufhängt,",das Klassenzimmer,und nimmt ein Stück Kreide.,10,B
"Eine Weile bastelt der Lehrer, bevor er die Tafel beschreibt,",das Klassenzimmer,und nimmt ein Stück Kreide.,10,C
"Eine Weile bastelt der Lehrer, bevor er den Mantel aufhängt,",das Klassenzimmer,und nimmt ein Stück Kreide.,10,D
"Schnell reibt der Chefkoch, während er die Nudeln kocht,",den Käse,und gibt Öl in die Pfanne.,11,A
"Schnell reibt der Chefkoch, während er die Nachrichten hört,",den Käse,und gibt Öl in die Pfanne.,11,B
"Schnell flickt der Chefkoch, während er die Nudeln kocht,",den Käse,und gibt Öl in die Pfanne.,11,C
"Schnell flickt der Chefkoch, während er die Nachrichten hört,",den Käse,und gibt Öl in die Pfanne.,11,D
"Vorgestern probierte der Braumeister, nachdem er den Kessel ausgeschaltet hatte,",das Bier,das zuvor gebraut wurde.,12,A
"Vorgestern probierte der Braumeister, nachdem er den Boden gewischt hatte,",das Bier,das zuvor gebraut wurde.,12,B
"Vorgestern bemalte der Braumeister, nachdem er den Kessel ausgeschaltet hatte,",das Bier,das zuvor gebraut wurde.,12,C
